"","MA","SES","Arima","Structural","NN","Best Method","Worst Method","MLL Method","Minimum Accuracy","Maximum Accuracy","Average Accuracy"
"1",8.44,9.62,8.09,6.02,21.48,4,5,3,6.02,21.48,10.73
"2",2.64,9.04,1.78,4.94,5.21,3,2,3,1.78,9.04,4.72
"3",5.38,5.48,7.09,8.73,5.73,1,4,3,5.38,8.73,6.48
"4",8.83,14.56,10.77,11.16,12.45,1,2,3,8.83,14.56,11.56
"5",13.83,32.43,13.12,12.1,26.99,4,2,3,12.1,32.43,19.69
"6",10.17,21.34,15.24,6.69,19.15,4,2,3,6.69,21.34,14.52
"7",11.35,13.75,12.72,18.37,12.38,1,4,3,11.35,18.37,13.71
"8",3.51,6.88,3.12,3.54,5.14,3,2,3,3.12,6.88,4.44
"9",6.03,7.49,8.24,6.4,6.62,1,3,3,6.03,8.24,6.96
"10",6.03,17.66,12.59,2.34,34.15,4,5,3,2.34,34.15,14.56
"11",3.24,6.73,2.14,3.56,3.36,3,2,3,2.14,6.73,3.81
