"","MA","SES","Arima","Structural","NN","Best Method","Worst Method","MLL Method","Minimum Accuracy","Maximum Accuracy","Average Accuracy"
"1",31.2,33.05,30.92,75.22,18.93,5,4,5,18.93,75.22,37.86
"2",6.79,10.74,7.12,6.96,7.33,1,2,5,6.79,10.74,7.79
"3",18.82,18.75,20.07,23.66,17.63,5,4,5,17.63,23.66,19.79
"4",1.79,3.15,1.51,4.17,5.1,3,5,5,1.51,5.1,3.14
"5",20.49,23.01,12.97,31.4,21.01,3,4,5,12.97,31.4,21.78
"6",34.99,43.26,67.39,67.85,33.06,5,4,5,33.06,67.85,49.31
"7",23.22,22.22,15.98,30.21,20.3,3,4,5,15.98,30.21,22.39
"8",4.67,4.77,5.33,4.73,4.41,5,3,5,4.41,5.33,4.78
"9",0.36,0.34,1.01,0.7,11.67,2,5,5,0.34,11.67,2.82
"10",10.65,11.52,8.68,11.5,12.06,3,5,5,8.68,12.06,10.88
"11",7.87,7.57,7.61,8.1,9.69,2,5,5,7.57,9.69,8.17
