"","MA","SES","Arima","Structural","NN","Best Method","Worst Method","MLL Method","Minimum Accuracy","Maximum Accuracy","Average Accuracy"
"1",60.67,60.34,51.93,59.31,43.53,5,1,3,43.53,60.67,55.16
"2",44.2,119.48,106.41,52.11,62.47,1,2,3,44.2,119.48,76.93
"3",59.99,68.66,169.55,70.73,46.83,5,3,3,46.83,169.55,83.15
"4",25.32,33.06,28.72,27.12,28.8,1,2,3,25.32,33.06,28.61
"5",39.37,80.94,49.97,50.21,35.55,5,2,3,35.55,80.94,51.21
"6",9.64,12.35,9.73,12.83,6.72,5,4,3,6.72,12.83,10.25
"7",9.16,12.26,9.57,13,6.37,5,4,3,6.37,13,10.07
"8",6.7,8.24,5.12,7.08,11.41,3,5,3,5.12,11.41,7.71
"9",6.43,7.6,6.23,6.84,3,5,2,3,3,7.6,6.02
"10",20.52,20.92,17.46,20.73,11.88,5,2,3,11.88,20.92,18.3
"11",14.13,14.3,11.87,13.91,11.2,5,2,3,11.2,14.3,13.08
