"","MA","SES","Arima","Structural","NN","Best Method","Worst Method","MLL Method","Minimum Accuracy","Maximum Accuracy","Average Accuracy"
"1",48.26,75.31,50.13,95.3,53.03,1,4,3,48.26,95.3,64.4
"2",70.62,70.05,70.74,121.63,68.05,5,4,3,68.05,121.63,80.22
"3",62.04,70.04,68.83,85.36,70.03,1,4,3,62.04,85.36,71.26
"4",61.5,71.84,69.12,70.78,65.32,1,2,3,61.5,71.84,67.71
"5",57.98,62.59,60.78,73.08,58.79,1,4,3,57.98,73.08,62.64
"6",55.89,61.11,56.32,80.33,56.18,1,4,3,55.89,80.33,61.97
"7",58.2,59.44,57.16,86.57,57.85,3,4,3,57.16,86.57,63.84
"8",65.4,74.02,67.97,86.55,61.99,5,4,3,61.99,86.55,71.18
"9",63.21,65.01,63.62,94.4,63.95,1,4,3,63.21,94.4,70.04
"10",56.48,60.84,58.83,65.4,58.67,1,4,3,56.48,65.4,60.04
"11",61.3,60.94,60.93,67.31,60.34,5,4,3,60.34,67.31,62.17
