"","MA","SES","Arima","Structural","NN","Best Method","Worst Method","MLL Method","Minimum Accuracy","Maximum Accuracy","Average Accuracy"
"1",27.08,28.1,13.7,27.46,30.73,3,5,3,13.7,30.73,25.41
"2",27.61,28.07,26.8,27.93,26.5,5,2,5,26.5,28.07,27.38
"3",39.48,38.14,17.34,41.08,37.75,3,4,3,17.34,41.08,34.76
"4",40.56,42.79,29.25,41.78,42.69,3,2,3,29.25,42.79,39.41
"5",50.63,49.97,47.92,55.72,48.32,3,4,5,47.92,55.72,50.51
"6",46.69,47.94,35.08,47.96,45.11,3,4,3,35.08,47.96,44.56
"7",26.85,29.64,27.13,26.34,27.09,4,2,3,26.34,29.64,27.41
"8",45.81,45.16,30.61,45.52,45.65,3,1,3,30.61,45.81,42.55
"9",25.89,27.02,26.21,25.45,26.77,4,2,5,25.45,27.02,26.27
"10",28.58,28.6,23.17,29.1,30.67,3,5,3,23.17,30.67,28.02
"11",38.14,38.53,29.5,38.38,36.03,3,2,3,29.5,38.53,36.12
"12",32.35,31.74,25.54,32.31,34.76,3,5,3,25.54,34.76,31.34
"13",32.01,31.72,19.86,31.85,31.62,3,1,3,19.86,32.01,29.41
"14",27.43,27.05,22.04,27.35,28.05,3,5,3,22.04,28.05,26.39
"15",43.25,43.49,42.51,42.91,41.35,5,2,5,41.35,43.49,42.7
"16",39.4,38.44,18.65,38.33,35.34,3,1,3,18.65,39.4,34.03
"17",40.61,42.36,35.87,40.68,40.58,3,2,3,35.87,42.36,40.02
"18",37.35,37.87,21.43,38.24,37.44,3,4,3,21.43,38.24,34.47
"19",41.53,41.95,15.85,42.7,40.78,3,4,3,15.85,42.7,36.56
"20",24.97,25.25,19,25.2,24.56,3,2,3,19,25.25,23.79
"21",27.33,36.8,16.05,26.35,25.37,3,2,3,16.05,36.8,26.38
"22",25.88,26.11,17.75,26.06,25.02,3,2,3,17.75,26.11,24.16
"23",49.02,48.32,32.86,48.49,42.83,3,1,3,32.86,49.02,44.31
"24",38.92,40.39,32.21,38.48,38.96,3,2,3,32.21,40.39,37.79
"25",30.17,31.47,19.86,30.64,31.42,3,2,3,19.86,31.47,28.71
"26",30.19,30.86,23.59,30.13,36.09,3,5,3,23.59,36.09,30.17
"27",29.89,28.94,21.76,29.75,31.43,3,5,3,21.76,31.43,28.35
"28",37.15,36.76,21.8,36.82,34.41,3,1,3,21.8,37.15,33.39
"29",39.16,39.04,27.62,52.21,39.49,3,4,3,27.62,52.21,39.51
"30",50.18,53.45,36.96,53.46,59.97,3,5,3,36.96,59.97,50.81
"31",34.04,33.95,19.33,34.14,30.31,3,4,3,19.33,34.14,30.36
"32",33.31,38.9,34.29,34.04,37.12,1,2,3,33.31,38.9,35.53
"33",44.22,44.05,28.54,44.06,45.68,3,5,3,28.54,45.68,41.31
"34",33.95,34.23,20.63,33.67,33.27,3,2,3,20.63,34.23,31.15
