B. Baseline Forecasting ,,,,,,,,,,,
Time-Series,Baseline SMAPES,,,,,Method,,,Accuracy,,
,MA,SES,Arima,Structural,NN,Best,Worst,MLL,Minimum,Maximum,Average
A-1,27.69,53.41,9.33,12.3,23.92,3,2,1,9.33,53.41,25.33
2,12.36,11.94,26.1,4.79,27.62,4,5,1,4.79,27.62,16.56
3,26.67,52.46,9.34,12.16,23.47,3,2,1,9.34,52.46,24.82
4,8.28,22.45,6.24,4.54,9.49,4,2,1,4.54,22.45,10.2
5,8.03,22.03,6.1,4.25,11.18,4,2,1,4.25,22.03,10.32
6,19.47,36.52,13.67,10.37,24.63,4,2,1,10.37,36.52,20.93
7,22.97,27.01,18.53,15.54,10.2,5,2,1,10.2,27.01,18.85
8,14.72,28.76,9.14,11.24,15.87,3,2,1,9.14,28.76,15.95
9,1.84,2.41,5.83,2.54,2.22,1,3,1,1.84,5.83,2.97
10,1.37,5.68,3.66,0.96,3.4,4,2,1,0.96,5.68,3.01
11,3.51,4.35,3.44,7.19,4.36,3,4,1,3.44,7.19,4.57
B-1,8.44,9.62,8.09,6.02,21.48,4,5,3,6.02,21.48,10.73
2,2.64,9.04,1.78,4.94,5.21,3,2,3,1.78,9.04,4.72
3,5.38,5.48,7.09,8.73,5.73,1,4,3,5.38,8.73,6.48
4,8.83,14.56,10.77,11.16,12.45,1,2,3,8.83,14.56,11.56
5,13.83,32.43,13.12,12.1,26.99,4,2,3,12.1,32.43,19.69
6,10.17,21.34,15.24,6.69,19.15,4,2,3,6.69,21.34,14.52
7,11.35,13.75,12.72,18.37,12.38,1,4,3,11.35,18.37,13.71
8,3.51,6.88,3.12,3.54,5.14,3,2,3,3.12,6.88,4.44
9,6.03,7.49,8.24,6.4,6.62,1,3,3,6.03,8.24,6.96
10,6.03,17.66,12.59,2.34,34.15,4,5,3,2.34,34.15,14.56
11,3.24,6.73,2.14,3.56,3.36,3,2,3,2.14,6.73,3.81
C-1,31.2,33.05,30.92,75.22,18.93,5,4,1,18.93,75.22,37.86
2,6.79,10.74,7.12,6.96,7.33,1,2,1,6.79,10.74,7.79
3,18.82,18.75,20.07,23.66,17.63,5,4,1,17.63,23.66,19.79
4,1.79,3.15,1.51,4.17,5.1,3,5,1,1.51,5.1,3.14
5,20.49,23.01,12.97,31.4,21.01,3,4,1,12.97,31.4,21.78
6,34.99,43.26,67.39,67.85,33.06,5,4,5,33.06,67.85,49.31
7,23.22,22.22,15.98,30.21,20.3,3,4,5,15.98,30.21,22.39
8,4.67,4.77,5.33,4.73,4.41,5,3,3,4.41,5.33,4.78
9,0.36,0.34,1.01,0.7,11.67,2,5,1,0.34,11.67,2.82
10,10.65,11.52,8.68,11.5,12.06,3,5,1,8.68,12.06,10.88
11,7.87,7.57,7.61,8.1,9.69,2,5,5,7.57,9.69,8.17
D-1,3.43,21.74,21.84,21.9,9.07,1,4,3,3.43,21.9,15.6
2,16.39,16.72,16.78,20.2,28.59,1,5,3,16.39,28.59,19.74
3,26.33,27.5,27.53,29.68,38.68,1,5,3,26.33,38.68,29.94
4,25.82,25.09,27.72,24.73,31.13,4,5,3,24.73,31.13,26.9
5,1.99,3.76,2.76,4.96,2.92,1,4,3,1.99,4.96,3.28
6,5.79,6.8,6.06,10.52,14.12,1,5,3,5.79,14.12,8.66
7,3.54,3.29,3.33,3.79,4.48,2,5,3,3.29,4.48,3.69
8,4.09,8.03,8.14,5.1,8.85,1,5,3,4.09,8.85,6.84
9,9.11,11.28,12.19,9.33,12.6,1,5,3,9.11,12.6,10.9
10,4.15,5.08,4.86,4.28,4.54,1,2,3,4.15,5.08,4.58
11,4.34,19.07,22.94,21.08,19.45,1,3,3,4.34,22.94,17.37
E-1,60.67,60.34,51.93,59.31,43.53,5,1,3,43.53,60.67,55.16
2,44.2,119.48,106.41,52.11,62.47,1,2,3,44.2,119.48,76.93
3,59.99,68.66,169.55,70.73,46.83,5,3,3,46.83,169.55,83.15
4,25.32,33.06,28.72,27.12,28.8,1,2,3,25.32,33.06,28.61
5,39.37,80.94,49.97,50.21,35.55,5,2,3,35.55,80.94,51.21
6,9.64,12.35,9.73,12.83,6.72,5,4,3,6.72,12.83,10.25
7,9.16,12.26,9.57,13,6.37,5,4,3,6.37,13,10.07
8,6.7,8.24,5.12,7.08,11.41,3,5,3,5.12,11.41,7.71
9,6.43,7.6,6.23,6.84,3,5,2,3,3,7.6,6.02
10,20.52,20.92,17.46,20.73,11.88,5,2,3,11.88,20.92,18.3
11,14.13,14.3,11.87,13.91,11.2,5,2,3,11.2,14.3,13.08
F-1,48.26,75.31,50.13,95.3,53.03,1,4,3,48.26,95.3,64.4
2,70.62,70.05,70.74,121.63,68.05,5,4,3,68.05,121.63,80.22
3,62.04,70.04,68.83,85.36,70.03,1,4,3,62.04,85.36,71.26
4,61.5,71.84,69.12,70.78,65.32,1,2,3,61.5,71.84,67.71
5,57.98,62.59,60.78,73.08,58.79,1,4,3,57.98,73.08,62.64
6,55.89,61.11,56.32,80.33,56.18,1,4,3,55.89,80.33,61.97
7,58.2,59.44,57.16,86.57,57.85,3,4,3,57.16,86.57,63.84
8,65.4,74.02,67.97,86.55,61.99,5,4,3,61.99,86.55,71.18
9,63.21,65.01,63.62,94.4,63.95,1,4,3,63.21,94.4,70.04
10,56.48,60.84,58.83,65.4,58.67,1,4,3,56.48,65.4,60.04
11,61.3,60.94,60.93,67.31,60.34,5,4,3,60.34,67.31,62.17
