"","MA","SES","Arima","Structural","NN","Baseline Best Method","Minimum SMAPE","Average"
"1",27.69,53.41,9.33,12.3,23.92,3,9.33,25.33
"2",12.36,11.94,26.1,4.79,28.25,4,4.79,16.69
"3",26.67,52.46,9.34,12.16,23.47,3,9.34,24.82
"4",8.28,22.45,6.24,4.54,10.81,4,4.54,10.46
"5",8.03,22.03,6.1,4.25,10.87,4,4.25,10.26
"6",19.47,36.52,13.67,10.37,84.61,4,10.37,32.93
"7",22.97,27.01,18.53,15.54,10.2,5,10.2,18.85
"8",14.72,28.76,9.14,11.24,15.49,3,9.14,15.87
"9",1.84,2.41,5.83,2.54,2.18,1,1.84,2.96
"10",1.37,5.68,3.66,0.96,3.4,4,0.96,3.01
"11",3.51,4.35,3.44,7.19,4.81,3,3.44,4.66
"12",8.44,9.62,8.09,6.02,6.44,4,6.02,7.72
"13",2.64,9.04,1.78,4.94,5.21,3,1.78,4.72
"14",5.38,5.48,7.09,8.73,5.73,1,5.38,6.48
"15",8.83,14.56,10.77,11.16,12.39,1,8.83,11.54
"16",13.83,32.43,13.12,12.1,27,4,12.1,19.7
"17",10.17,21.34,15.24,6.69,19.15,4,6.69,14.52
"18",11.35,13.75,12.72,18.37,12.38,1,11.35,13.71
"19",3.51,6.88,3.12,3.54,5.54,3,3.12,4.52
"20",6.03,7.49,8.24,6.4,6.75,1,6.03,6.98
"21",6.03,17.66,12.59,2.34,12.47,4,2.34,10.22
"22",3.24,6.73,2.14,3.56,3.97,3,2.14,3.93
"23",31.2,33.05,30.92,75.22,20.07,5,20.07,38.09
"24",6.79,10.74,7.12,6.96,5.54,5,5.54,7.43
"25",18.82,18.75,20.07,23.66,17.63,5,17.63,19.79
"26",1.79,3.15,1.51,4.17,5.09,3,1.51,3.14
"27",20.49,23.01,12.97,31.4,21.01,3,12.97,21.78
"28",34.99,43.26,67.39,67.85,33.37,5,33.37,49.37
"29",23.22,22.22,15.98,30.21,19.82,3,15.98,22.29
"30",4.67,4.77,5.33,4.73,5.16,1,4.67,4.93
"31",0.36,0.34,1.01,0.7,0.38,2,0.34,0.56
"32",10.65,11.52,8.68,11.5,11.83,3,8.68,10.84
"33",7.87,7.57,7.61,8.1,9.98,2,7.57,8.23
"34",3.43,21.74,21.84,21.9,9.07,1,3.43,15.6
"35",16.39,16.72,16.78,20.2,29.52,1,16.39,19.92
"36",26.33,27.5,27.53,29.68,40.08,1,26.33,30.22
"37",25.82,25.09,27.72,24.73,31.26,4,24.73,26.92
"38",1.99,3.76,2.76,4.96,2.71,1,1.99,3.24
"39",5.79,6.8,6.06,10.52,14.1,1,5.79,8.66
"40",3.54,3.29,3.33,3.79,4.48,2,3.29,3.69
"41",4.09,8.03,8.14,5.1,8.38,1,4.09,6.75
"42",9.11,11.28,12.19,9.33,12.68,1,9.11,10.92
"43",4.15,5.08,4.86,4.28,4.54,1,4.15,4.58
"44",4.34,19.07,22.94,21.08,19.5,1,4.34,17.39
"45",60.67,60.34,51.93,59.31,43.76,5,43.76,55.2
"46",44.2,119.48,106.41,52.11,67.05,1,44.2,77.85
"47",59.99,68.66,169.55,70.73,30.51,5,30.51,79.89
"48",25.32,33.06,28.72,27.12,29.66,1,25.32,28.78
"49",39.37,80.94,49.97,50.21,37.27,5,37.27,51.55
"50",9.64,12.35,9.73,12.83,7.38,5,7.38,10.39
"51",9.16,12.26,9.57,13,6.32,5,6.32,10.06
"52",6.7,8.24,5.12,7.08,3.18,5,3.18,6.06
"53",6.43,7.6,6.23,6.84,3,5,3,6.02
"54",20.52,20.92,17.46,20.73,20.83,3,17.46,20.09
"55",14.13,14.3,11.87,13.91,11.2,5,11.2,13.08
"56",48.26,75.31,50.13,95.3,54.18,1,48.26,64.63
"57",70.62,70.05,70.74,121.63,67.92,5,67.92,80.19
"58",62.04,70.04,68.83,85.36,70.03,1,62.04,71.26
"59",61.5,71.84,69.12,70.78,65.45,1,61.5,67.74
"60",57.98,62.59,60.78,73.08,61.64,1,57.98,63.21
"61",55.89,61.11,56.32,80.33,54.13,5,54.13,61.56
"62",58.2,59.44,57.16,86.57,57.83,3,57.16,63.84
"63",65.4,74.02,67.97,86.55,63.83,5,63.83,71.55
"64",63.21,65.01,63.62,94.4,64.01,1,63.21,70.05
"65",56.48,60.84,58.83,65.4,55.94,5,55.94,59.5
"66",61.3,60.94,60.93,67.31,60.24,5,60.24,62.15
"67",21.96,28.91,25.61,28.04,24.19,2.98,18.91,25.74
