"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE","MLL(GC)","MLL(GC) SMAPE","MLL(NN3+NN5+NNGC)","MLL(NN3+NN5+NNGC) SMAPE"
"1",2,53.41,3,9.33,1,27.69,3,9.33,3,9.33
"2",2,11.94,5,27.99,5,27.99,4,4.79,4,26.1
"3",2,52.46,5,23.47,5,23.47,4,12.16,3,9.34
"4",2,22.45,5,11.07,5,11.07,3,6.24,4,6.24
"5",2,22.03,3,6.1,5,10.27,4,4.25,4,6.1
"6",2,36.52,3,13.67,1,19.47,4,10.37,4,13.67
"7",2,27.01,1,22.97,1,22.97,4,15.54,5,18.53
"8",1,14.72,3,9.14,3,9.14,4,11.24,3,9.14
"9",2,2.41,1,1.84,1,1.84,4,2.54,1,5.83
"10",1,1.37,3,3.66,1,1.37,4,0.96,4,3.66
"11",4,7.19,5,4.36,1,3.51,1,3.51,3,3.44
"12",1,8.44,3,8.09,3,8.09,4,6.02,4,8.09
"13",1,2.64,3,1.78,3,1.78,4,4.94,3,1.78
"14",2,5.48,1,5.38,5,5.74,1,5.38,1,7.09
"15",5,13.95,3,10.77,3,10.77,3,10.77,1,10.77
"16",1,13.83,3,13.12,3,13.12,4,12.1,4,13.12
"17",4,6.69,3,15.24,5,19.15,3,15.24,4,15.24
"18",1,11.35,3,12.72,3,12.72,1,11.35,1,12.72
"19",1,3.51,3,3.12,3,3.12,3,3.12,3,3.12
"20",1,6.03,3,8.24,1,6.03,1,6.03,1,8.24
"21",3,12.59,5,12.42,5,12.42,3,12.59,4,12.59
"22",3,2.14,5,3.07,4,3.56,1,3.24,3,2.14
"23",3,30.92,1,31.2,5,19.24,5,19.24,5,30.92
"24",1,6.79,3,7.12,3,7.12,1,6.79,1,7.12
"25",2,18.75,5,17.63,5,17.63,1,18.82,5,20.07
"26",2,3.15,5,5.09,5,5.09,1,1.79,3,1.51
"27",2,23.01,1,20.49,5,21.01,1,20.49,3,12.97
"28",2,43.26,1,34.99,5,35.15,1,34.99,1,67.39
"29",2,22.22,5,20.16,5,20.16,5,20.16,3,15.98
"30",2,4.77,5,5.15,5,5.15,1,4.67,1,5.33
"31",1,0.36,3,1.01,3,1.01,1,0.36,2,1.01
"32",1,10.65,3,8.68,3,8.68,1,10.65,3,8.68
"33",4,8.1,3,7.61,3,7.61,1,7.87,2,7.61
"34",1,3.43,3,21.84,3,21.84,1,3.43,1,21.84
"35",1,16.39,3,16.78,3,16.78,1,16.39,1,16.78
"36",1,26.33,3,27.53,3,27.53,1,26.33,1,27.53
"37",1,25.82,5,31.05,5,31.05,1,25.82,4,27.72
"38",5,3.1,5,3.1,4,4.96,1,1.99,1,2.76
"39",1,5.79,5,14.17,5,14.17,1,5.79,1,6.06
"40",1,3.54,5,4.64,1,3.54,1,3.54,2,3.33
"41",1,4.09,3,8.14,3,8.14,1,4.09,1,8.14
"42",1,9.11,3,12.19,3,12.19,1,9.11,1,12.19
"43",2,5.08,3,4.86,5,4.54,1,4.15,1,4.86
"44",2,19.07,5,19.45,1,4.34,1,4.34,1,22.94
"45",2,60.34,5,43.86,1,60.67,5,43.86,5,51.93
"46",2,119.48,5,63.29,4,52.11,1,44.2,1,106.41
"47",2,68.66,3,169.55,5,40.4,1,59.99,5,169.55
"48",2,33.06,3,28.72,5,28.95,1,25.32,1,28.72
"49",2,80.94,1,39.37,1,39.37,1,39.37,5,49.97
"50",4,12.83,5,6.57,1,9.64,5,6.57,5,9.73
"51",2,12.26,1,9.16,1,9.16,5,6.29,5,9.57
"52",1,6.7,3,5.12,1,6.7,5,3.48,5,5.12
"53",1,6.43,3,6.23,3,6.23,5,3,5,6.23
"54",1,20.52,3,17.46,3,17.46,5,11.9,5,17.46
"55",1,14.13,3,11.87,3,11.87,1,14.13,5,11.87
"56",1,48.26,3,50.13,3,50.13,5,53.51,1,50.13
"57",5,68.52,3,70.74,3,70.74,1,70.62,5,70.74
"58",4,85.36,3,68.83,3,68.83,1,62.04,1,68.83
"59",1,61.5,3,69.12,3,69.12,1,61.5,1,69.12
"60",1,57.98,3,60.78,3,60.78,1,57.98,1,60.78
"61",5,57.3,1,55.89,5,57.3,1,55.89,1,56.32
"62",3,57.16,5,57.87,1,58.2,1,58.2,3,57.16
"63",5,62.7,1,65.4,5,62.7,1,65.4,5,67.97
"64",3,63.62,3,63.62,5,64.06,3,63.62,1,63.62
"65",4,65.4,3,58.83,3,58.83,1,56.48,5,58.83
"66",1,61.3,3,60.93,3,60.93,1,61.3,3,60.93
"67",2.08,26.61,3.27,24.75,3.26,22.98,2.26,20.41,2.8,25.61
