"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE"
"1",1,27.69,1,27.69,1,27.69
"2",1,12.36,4,4.79,1,12.36
"3",5,23.47,3,9.34,5,23.47
"4",1,8.28,1,8.28,1,8.28
"5",5,11.18,3,6.1,5,11.18
"6",3,13.67,4,10.37,3,13.67
"7",1,22.97,4,15.54,1,22.97
"8",1,14.72,1,14.72,1,14.72
"9",5,2.22,3,5.83,5,2.22
"10",1,1.37,1,1.37,1,1.37
"11",3,3.44,4,7.19,3,3.44
"12",3,8.09,4,6.02,3,8.09
"13",1,2.64,1,2.64,1,2.64
"14",1,5.38,1,5.38,1,5.38
"15",1,8.83,3,10.77,1,8.83
"16",3,13.12,1,13.83,4,12.1
"17",5,19.15,3,15.24,3,15.24
"18",1,11.35,1,11.35,1,11.35
"19",1,3.51,4,3.54,1,3.51
"20",1,6.03,4,6.4,1,6.03
"21",1,6.03,4,2.34,3,12.59
"22",5,3.36,4,3.56,4,3.56
"23",1,31.2,3,30.92,1,31.2
"24",1,6.79,4,6.96,1,6.79
"25",1,18.82,4,23.66,1,18.82
"26",1,1.79,4,4.17,3,1.51
"27",5,21.01,3,12.97,5,21.01
"28",2,43.26,1,34.99,1,34.99
"29",1,23.22,4,30.21,1,23.22
"30",1,4.67,1,4.67,1,4.67
"31",1,0.36,4,0.7,1,0.36
"32",1,10.65,1,10.65,1,10.65
"33",5,9.69,3,7.61,5,9.69
"34",1,3.43,1,3.43,1,3.43
"35",1,16.39,4,20.2,3,16.78
"36",1,26.33,1,26.33,1,26.33
"37",1,25.82,4,24.73,3,27.72
"38",1,1.99,4,4.96,1,1.99
"39",5,14.12,3,6.06,5,14.12
"40",4,3.79,1,3.54,4,3.79
"41",1,4.09,4,5.1,3,8.14
"42",1,9.11,1,9.11,1,9.11
"43",1,4.15,4,4.28,1,4.15
"44",1,4.34,1,4.34,1,4.34
"45",1,60.67,3,51.93,1,60.67
"46",1,44.2,4,52.11,1,44.2
"47",1,59.99,3,169.55,3,169.55
"48",1,25.32,1,25.32,1,25.32
"49",1,39.37,1,39.37,1,39.37
"50",1,9.64,1,9.64,1,9.64
"51",1,9.16,1,9.16,1,9.16
"52",1,6.7,4,7.08,1,6.7
"53",1,6.43,3,6.23,3,6.23
"54",1,20.52,1,20.52,1,20.52
"55",1,14.13,1,14.13,1,14.13
"56",1,48.26,1,48.26,1,48.26
"57",1,70.62,3,70.74,1,70.62
"58",4,85.36,1,62.04,1,62.04
"59",5,65.32,3,69.12,3,69.12
"60",1,57.98,1,57.98,1,57.98
"61",1,55.89,1,55.89,1,55.89
"62",1,58.2,1,58.2,1,58.2
"63",1,65.4,3,67.97,1,65.4
"64",1,63.21,1,63.21,1,63.21
"65",1,56.48,4,65.4,3,58.83
"66",1,61.3,1,61.3,1,61.3
"67",1.77,22.7,2.45,23.59,1.89,24.09
