"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE"
"1",1,27.69,1,27.69,1,27.69
"2",1,12.36,4,4.79,1,12.36
"3",5,23.47,1,26.67,1,26.67
"4",1,8.28,1,8.28,1,8.28
"5",5,11.18,3,6.1,3,6.1
"6",3,13.67,3,13.67,3,13.67
"7",1,22.97,3,18.53,3,18.53
"8",1,14.72,1,14.72,1,14.72
"9",5,2.22,5,2.22,1,1.84
"10",5,3.4,1,1.37,1,1.37
"11",3,3.44,3,3.44,3,3.44
"12",3,8.09,3,8.09,3,8.09
"13",1,2.64,1,2.64,1,2.64
"14",1,5.38,1,5.38,1,5.38
"15",4,11.16,1,8.83,4,11.16
"16",5,26.99,1,13.83,1,13.83
"17",5,19.15,3,15.24,3,15.24
"18",1,11.35,1,11.35,1,11.35
"19",1,3.51,4,3.54,1,3.51
"20",1,6.03,4,6.4,1,6.03
"21",1,6.03,3,12.59,3,12.59
"22",4,3.56,4,3.56,4,3.56
"23",5,18.93,3,30.92,1,31.2
"24",1,6.79,4,6.96,1,6.79
"25",1,18.82,4,23.66,1,18.82
"26",1,1.79,3,1.51,3,1.51
"27",5,21.01,3,12.97,5,21.01
"28",5,33.06,1,34.99,1,34.99
"29",1,23.22,4,30.21,1,23.22
"30",1,4.67,1,4.67,1,4.67
"31",1,0.36,4,0.7,1,0.36
"32",1,10.65,1,10.65,1,10.65
"33",5,9.69,1,7.87,5,9.69
"34",1,3.43,1,3.43,1,3.43
"35",5,28.59,3,16.78,3,16.78
"36",1,26.33,1,26.33,1,26.33
"37",1,25.82,4,24.73,1,25.82
"38",1,1.99,4,4.96,1,1.99
"39",5,14.12,4,10.52,5,14.12
"40",4,3.79,1,3.54,1,3.54
"41",5,8.85,3,8.14,3,8.14
"42",1,9.11,1,9.11,1,9.11
"43",1,4.15,4,4.28,1,4.15
"44",1,4.34,1,4.34,1,4.34
"45",1,60.67,4,59.31,1,60.67
"46",1,44.2,4,52.11,1,44.2
"47",5,46.83,3,169.55,3,169.55
"48",1,25.32,1,25.32,1,25.32
"49",1,39.37,1,39.37,1,39.37
"50",1,9.64,1,9.64,1,9.64
"51",1,9.16,1,9.16,1,9.16
"52",1,6.7,4,7.08,1,6.7
"53",5,3,3,6.23,3,6.23
"54",1,20.52,1,20.52,1,20.52
"55",1,14.13,1,14.13,1,14.13
"56",1,48.26,1,48.26,1,48.26
"57",1,70.62,1,70.62,1,70.62
"58",4,85.36,1,62.04,1,62.04
"59",5,65.32,3,69.12,3,69.12
"60",1,57.98,1,57.98,1,57.98
"61",1,55.89,1,55.89,1,55.89
"62",1,58.2,1,58.2,1,58.2
"63",5,61.99,4,86.55,1,65.4
"64",1,63.21,1,63.21,1,63.21
"65",5,58.67,3,58.83,3,58.83
"66",1,61.3,1,61.3,1,61.3
"67",2.36,22.62,2.27,24.31,1.7,24.02
