"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE","MLL(GC)","MLL(GC) SMAPE","MLL(NN3+NN5+NNGC)","MLL(NN3+NN5+NNGC) SMAPE"
"1",3,9.33,5,23.92,1,27.69,3,9.33,3,9.33
"2",3,26.1,5,27.99,1,12.36,1,12.36,1,26.1
"3",1,26.67,5,23.47,1,26.67,3,9.34,3,9.34
"4",1,8.28,3,6.24,1,8.28,4,4.54,4,6.24
"5",1,8.03,3,6.1,4,4.25,4,4.25,4,6.1
"6",1,19.47,3,13.67,1,19.47,4,10.37,4,13.67
"7",1,22.97,5,10.2,1,22.97,4,15.54,5,18.53
"8",3,9.14,5,15.85,1,14.72,4,11.24,4,9.14
"9",1,1.84,5,2.24,1,1.84,1,1.84,1,5.83
"10",1,1.37,5,3.4,1,1.37,4,0.96,4,3.66
"11",1,3.51,5,4.36,1,3.51,1,3.51,3,3.44
"12",1,8.44,5,6.6,3,8.09,4,6.02,4,8.09
"13",1,2.64,5,5.21,1,2.64,4,4.94,3,1.78
"14",1,5.38,5,5.74,1,5.38,1,5.38,1,7.09
"15",1,8.83,5,13.95,1,8.83,3,10.77,1,10.77
"16",1,13.83,5,27,1,13.83,4,12.1,1,13.12
"17",1,10.17,5,19.15,1,10.17,3,15.24,1,15.24
"18",1,11.35,5,12.38,1,11.35,1,11.35,1,12.72
"19",1,3.51,5,5.97,1,3.51,4,3.54,1,3.12
"20",1,6.03,5,6.81,1,6.03,1,6.03,1,8.24
"21",1,6.03,5,12.42,1,6.03,3,12.59,1,12.59
"22",1,3.24,5,3.07,1,3.24,1,3.24,3,2.14
"23",1,31.2,5,19.24,1,31.2,5,19.24,5,30.92
"24",1,6.79,5,7.32,1,6.79,1,6.79,1,7.12
"25",1,18.82,5,17.63,1,18.82,5,17.63,5,20.07
"26",3,1.51,5,5.09,1,1.79,1,1.79,1,1.51
"27",1,20.49,5,21.01,1,20.49,1,20.49,3,12.97
"28",1,34.99,5,35.15,1,34.99,1,34.99,1,67.39
"29",1,23.22,5,20.16,1,23.22,5,20.16,3,15.98
"30",1,4.67,5,5.15,1,4.67,1,4.67,1,5.33
"31",1,0.36,5,11.67,1,0.36,1,0.36,1,1.01
"32",3,8.68,5,11.92,4,11.5,2,11.52,1,8.68
"33",1,7.87,3,7.61,1,7.87,1,7.87,3,7.61
"34",1,3.43,3,21.84,1,3.43,1,3.43,1,21.84
"35",1,16.39,5,28.58,1,16.39,1,16.39,1,16.78
"36",1,26.33,5,38.5,1,26.33,1,26.33,1,27.53
"37",1,25.82,5,31.05,1,25.82,1,25.82,4,27.72
"38",1,1.99,5,3.1,1,1.99,1,1.99,1,2.76
"39",1,5.79,5,14.17,1,5.79,1,5.79,1,6.06
"40",1,3.54,3,3.33,1,3.54,1,3.54,1,3.33
"41",1,4.09,5,8.53,1,4.09,1,4.09,1,8.14
"42",1,9.11,5,12.57,1,9.11,1,9.11,1,12.19
"43",1,4.15,5,4.54,1,4.15,1,4.15,1,4.86
"44",1,4.34,5,19.45,1,4.34,1,4.34,1,22.94
"45",3,51.93,5,43.86,1,60.67,5,43.86,5,51.93
"46",1,44.2,5,63.29,1,44.2,1,44.2,1,106.41
"47",4,70.73,5,40.4,3,169.55,5,40.4,5,169.55
"48",4,27.12,3,28.72,3,28.72,1,25.32,1,28.72
"49",1,39.37,5,36.07,1,39.37,1,39.37,1,49.97
"50",1,9.64,5,6.57,1,9.64,5,6.57,4,9.73
"51",1,9.16,5,6.29,1,9.16,5,6.29,4,9.57
"52",1,6.7,3,5.12,1,6.7,5,3.48,4,5.12
"53",1,6.43,5,3,1,6.43,5,3,4,6.23
"54",1,20.52,5,11.9,1,20.52,5,11.9,4,17.46
"55",1,14.13,5,11.17,1,14.13,1,14.13,5,11.87
"56",1,48.26,5,53.51,1,48.26,5,53.51,1,50.13
"57",1,70.62,5,68.52,1,70.62,1,70.62,5,70.74
"58",1,62.04,5,70.03,1,62.04,1,62.04,1,68.83
"59",1,61.5,5,65.71,1,61.5,1,61.5,1,69.12
"60",1,57.98,5,59.88,1,57.98,1,57.98,1,60.78
"61",1,55.89,5,57.3,1,55.89,1,55.89,1,56.32
"62",1,58.2,5,57.87,1,58.2,1,58.2,1,57.16
"63",1,65.4,5,62.7,1,65.4,1,65.4,5,67.97
"64",1,63.21,5,64.06,1,63.21,1,63.21,1,63.62
"65",1,56.48,5,55.96,1,56.48,1,56.48,4,58.83
"66",1,61.3,5,61.96,1,61.3,1,61.3,3,60.93
"67",1.27,21.83,4.76,23.29,1.18,23.62,2.29,20.15,2.35,25.61
