"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE"
"1",1,27.69,3,9.33,1,27.69
"2",1,12.36,4,4.79,2,11.94
"3",1,26.67,4,12.16,5,23.47
"4",5,9.49,3,6.24,1,8.28
"5",5,11.18,3,6.1,3,6.1
"6",3,13.67,3,13.67,4,10.37
"7",1,22.97,4,15.54,1,22.97
"8",1,14.72,1,14.72,1,14.72
"9",5,2.22,4,2.54,5,2.22
"10",5,3.4,4,0.96,3,3.66
"11",3,3.44,3,3.44,4,7.19
"12",3,8.09,3,8.09,4,6.02
"13",1,2.64,3,1.78,1,2.64
"14",1,5.38,1,5.38,1,5.38
"15",5,12.45,3,10.77,1,8.83
"16",5,26.99,4,12.1,1,13.83
"17",5,19.15,4,6.69,3,15.24
"18",3,12.72,4,18.37,1,11.35
"19",1,3.51,4,3.54,1,3.51
"20",3,8.24,2,7.49,1,6.03
"21",1,6.03,3,12.59,1,6.03
"22",5,3.36,3,2.14,3,2.14
"23",5,18.93,4,75.22,5,18.93
"24",5,7.33,4,6.96,3,7.12
"25",1,18.82,4,23.66,1,18.82
"26",3,1.51,2,3.15,1,1.79
"27",5,21.01,4,31.4,5,21.01
"28",5,33.06,4,67.85,3,67.39
"29",5,20.3,4,30.21,1,23.22
"30",3,5.33,4,4.73,1,4.67
"31",1,0.36,4,0.7,1,0.36
"32",1,10.65,1,10.65,1,10.65
"33",1,7.87,4,8.1,5,9.69
"34",3,21.84,4,21.9,1,3.43
"35",3,16.78,4,20.2,5,28.59
"36",5,38.68,4,29.68,5,38.68
"37",1,25.82,3,27.72,3,27.72
"38",1,1.99,3,2.76,1,1.99
"39",5,14.12,3,6.06,5,14.12
"40",5,4.48,4,3.79,3,3.33
"41",3,8.14,4,5.1,5,8.85
"42",5,12.6,4,9.33,1,9.11
"43",1,4.15,4,4.28,1,4.15
"44",1,4.34,3,22.94,1,4.34
"45",4,59.31,4,59.31,4,59.31
"46",3,106.41,4,52.11,1,44.2
"47",5,46.83,4,70.73,2,68.66
"48",5,28.8,4,27.12,1,25.32
"49",1,39.37,4,50.21,1,39.37
"50",1,9.64,1,9.64,1,9.64
"51",1,9.16,4,13,1,9.16
"52",5,11.41,4,7.08,1,6.7
"53",5,3,4,6.84,5,3
"54",3,17.46,4,20.73,5,11.88
"55",1,14.13,2,14.3,1,14.13
"56",1,48.26,4,95.3,1,48.26
"57",1,70.62,4,121.63,5,68.05
"58",5,70.03,4,85.36,1,62.04
"59",5,65.32,4,70.78,3,69.12
"60",3,60.78,4,73.08,5,58.79
"61",1,55.89,4,80.33,1,55.89
"62",1,58.2,4,86.57,1,58.2
"63",5,61.99,4,86.55,1,65.4
"64",5,63.95,3,63.62,2,65.01
"65",5,58.67,4,65.4,1,56.48
"66",3,60.93,4,67.31,5,60.34
"67",3.05,23.86,3.5,27.6,2.35,22.83
