"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE"
"1",1,27.69,1,27.69,1,27.69
"2",1,12.36,2,11.94,4,4.79
"3",1,26.67,2,52.46,5,23.47
"4",5,9.49,4,4.54,3,6.24
"5",5,11.18,3,6.1,5,11.18
"6",2,36.52,4,10.37,3,13.67
"7",1,22.97,2,27.01,4,15.54
"8",1,14.72,3,9.14,1,14.72
"9",1,1.84,2,2.41,1,1.84
"10",5,3.4,2,5.68,4,0.96
"11",5,4.36,3,3.44,3,3.44
"12",2,9.62,3,8.09,3,8.09
"13",1,2.64,1,2.64,1,2.64
"14",1,5.38,3,7.09,1,5.38
"15",5,12.45,3,10.77,4,11.16
"16",2,32.43,2,32.43,4,12.1
"17",5,19.15,3,15.24,3,15.24
"18",5,12.38,2,13.75,1,11.35
"19",1,3.51,2,6.88,4,3.54
"20",1,6.03,1,6.03,1,6.03
"21",3,12.59,3,12.59,3,12.59
"22",2,6.73,2,6.73,4,3.56
"23",5,18.93,2,33.05,1,31.2
"24",2,10.74,2,10.74,3,7.12
"25",1,18.82,2,18.75,4,23.66
"26",3,1.51,3,1.51,1,1.79
"27",1,20.49,2,23.01,1,20.49
"28",5,33.06,2,43.26,1,34.99
"29",5,20.3,2,22.22,3,15.98
"30",5,4.41,2,4.77,1,4.67
"31",1,0.36,2,0.34,4,0.7
"32",1,10.65,3,8.68,1,10.65
"33",5,9.69,2,7.57,5,9.69
"34",2,21.74,2,21.74,2,21.74
"35",2,16.72,2,16.72,3,16.78
"36",5,38.68,2,27.5,1,26.33
"37",3,27.72,3,27.72,4,24.73
"38",1,1.99,1,1.99,1,1.99
"39",5,14.12,4,10.52,5,14.12
"40",5,4.48,2,3.29,2,3.29
"41",2,8.03,2,8.03,3,8.14
"42",1,9.11,2,11.28,1,9.11
"43",1,4.15,2,5.08,4,4.28
"44",1,4.34,4,21.08,1,4.34
"45",1,60.67,2,60.34,1,60.67
"46",2,119.48,2,119.48,2,119.48
"47",5,46.83,2,68.66,3,169.55
"48",2,33.06,2,33.06,3,28.72
"49",1,39.37,2,80.94,4,50.21
"50",1,9.64,3,9.73,1,9.64
"51",1,9.16,2,12.26,1,9.16
"52",2,8.24,2,8.24,1,6.7
"53",5,3,2,7.6,1,6.43
"54",5,11.88,2,20.92,1,20.52
"55",1,14.13,1,14.13,4,13.91
"56",3,50.13,2,75.31,1,48.26
"57",1,70.62,2,70.05,1,70.62
"58",5,70.03,2,70.04,2,70.04
"59",5,65.32,2,71.84,3,69.12
"60",5,58.79,2,62.59,1,57.98
"61",1,55.89,2,61.11,4,80.33
"62",3,57.16,2,59.44,1,58.2
"63",5,61.99,2,74.02,1,65.4
"64",2,65.01,4,94.4,3,63.62
"65",2,60.84,2,60.84,3,58.83
"66",5,60.34,2,60.94,3,60.93
"67",2.74,24.63,2.26,27.39,2.42,25.9
