"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE","MLL(GC)","MLL(GC) SMAPE","MLL(NN3+NN5+NNGC)","MLL(NN3+NN5+NNGC) SMAPE"
"1",1,27.69,3,9.33,1,27.69,3,9.33,3,9.33
"2",1,12.36,3,26.1,1,12.36,4,4.79,4,26.1
"3",1,26.67,3,9.34,1,26.67,4,12.16,3,9.34
"4",1,8.28,3,6.24,1,8.28,3,6.24,4,6.24
"5",1,8.03,3,6.1,3,6.1,4,4.25,4,6.1
"6",1,19.47,3,13.67,1,19.47,4,10.37,5,13.67
"7",1,22.97,3,18.53,1,22.97,4,15.54,3,18.53
"8",1,14.72,3,9.14,1,14.72,4,11.24,3,9.14
"9",1,1.84,3,5.83,1,1.84,4,2.54,1,5.83
"10",1,1.37,3,3.66,3,3.66,4,0.96,4,3.66
"11",1,3.51,3,3.44,1,3.51,1,3.51,3,3.44
"12",1,8.44,3,8.09,1,8.44,4,6.02,4,8.09
"13",1,2.64,3,1.78,1,2.64,4,4.94,3,1.78
"14",1,5.38,3,7.09,1,5.38,1,5.38,1,7.09
"15",1,8.83,3,10.77,1,8.83,3,10.77,1,10.77
"16",1,13.83,3,13.12,1,13.83,4,12.1,4,13.12
"17",1,10.17,3,15.24,1,10.17,3,15.24,4,15.24
"18",1,11.35,3,12.72,1,11.35,1,11.35,1,12.72
"19",1,3.51,3,3.12,1,3.51,3,3.12,3,3.12
"20",1,6.03,3,8.24,1,6.03,1,6.03,1,8.24
"21",1,6.03,3,12.59,1,6.03,3,12.59,4,12.59
"22",1,3.24,3,2.14,4,3.56,1,3.24,1,2.14
"23",1,31.2,3,30.92,1,31.2,5,20.07,4,30.92
"24",1,6.79,3,7.12,1,6.79,1,6.79,1,7.12
"25",1,18.82,3,20.07,1,18.82,1,18.82,4,20.07
"26",1,1.79,3,1.51,1,1.79,1,1.79,1,1.51
"27",1,20.49,3,12.97,1,20.49,1,20.49,3,12.97
"28",1,34.99,3,67.39,1,34.99,1,34.99,1,67.39
"29",1,23.22,3,15.98,1,23.22,5,19.82,3,15.98
"30",1,4.67,3,5.33,1,4.67,1,4.67,1,5.33
"31",1,0.36,3,1.01,1,0.36,1,0.36,2,1.01
"32",1,10.65,3,8.68,1,10.65,1,10.65,5,8.68
"33",5,9.98,3,7.61,5,9.98,1,7.87,2,7.61
"34",1,3.43,3,21.84,1,3.43,1,3.43,1,21.84
"35",1,16.39,3,16.78,1,16.39,1,16.39,1,16.78
"36",1,26.33,3,27.53,1,26.33,1,26.33,1,27.53
"37",1,25.82,3,27.72,1,25.82,1,25.82,4,27.72
"38",1,1.99,3,2.76,1,1.99,1,1.99,1,2.76
"39",1,5.79,3,6.06,5,14.1,1,5.79,1,6.06
"40",1,3.54,3,3.33,1,3.54,1,3.54,2,3.33
"41",1,4.09,3,8.14,1,4.09,1,4.09,1,8.14
"42",1,9.11,3,12.19,1,9.11,1,9.11,1,12.19
"43",1,4.15,3,4.86,1,4.15,1,4.15,1,4.86
"44",1,4.34,3,22.94,1,4.34,1,4.34,1,22.94
"45",1,60.67,3,51.93,3,51.93,5,43.76,5,51.93
"46",1,44.2,3,106.41,1,44.2,1,44.2,1,106.41
"47",1,59.99,3,169.55,1,59.99,1,59.99,1,169.55
"48",1,25.32,3,28.72,1,25.32,1,25.32,1,28.72
"49",1,39.37,3,49.97,1,39.37,1,39.37,5,49.97
"50",1,9.64,3,9.73,1,9.64,5,7.38,5,9.73
"51",1,9.16,3,9.57,1,9.16,5,6.32,5,9.57
"52",1,6.7,3,5.12,1,6.7,5,3.18,5,5.12
"53",1,6.43,3,6.23,1,6.43,5,3,5,6.23
"54",1,20.52,3,17.46,1,20.52,5,20.83,2,17.46
"55",1,14.13,3,11.87,1,14.13,1,14.13,5,11.87
"56",1,48.26,3,50.13,1,48.26,5,54.18,1,50.13
"57",5,67.92,3,70.74,5,67.92,1,70.62,5,70.74
"58",1,62.04,3,68.83,1,62.04,1,62.04,1,68.83
"59",1,61.5,3,69.12,1,61.5,1,61.5,1,69.12
"60",1,57.98,3,60.78,1,57.98,1,57.98,1,60.78
"61",1,55.89,3,56.32,1,55.89,1,55.89,1,56.32
"62",1,58.2,3,57.16,1,58.2,1,58.2,3,57.16
"63",5,63.83,3,67.97,5,63.83,1,65.4,5,67.97
"64",1,63.21,3,63.62,1,63.21,3,63.62,1,63.62
"65",1,56.48,3,58.83,1,56.48,1,56.48,5,58.83
"66",1,61.3,3,60.93,1,61.3,1,61.3,3,60.93
"67",1.18,21.93,3,25.61,1.38,21.93,2.26,20.57,2.62,25.61
