"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE"
"1",1,27.69,3,9.33,1,27.69
"2",1,12.36,3,26.1,1,12.36
"3",5,23.47,3,9.34,5,23.47
"4",5,9.49,3,6.24,1,8.28
"5",5,11.18,3,6.1,3,6.1
"6",5,24.63,3,13.67,4,10.37
"7",1,22.97,3,18.53,1,22.97
"8",1,14.72,3,9.14,1,14.72
"9",5,2.22,3,5.83,5,2.22
"10",5,3.4,3,3.66,1,1.37
"11",5,4.36,3,3.44,3,3.44
"12",5,21.48,3,8.09,4,6.02
"13",1,2.64,3,1.78,1,2.64
"14",1,5.38,3,7.09,1,5.38
"15",5,12.45,3,10.77,1,8.83
"16",5,26.99,3,13.12,1,13.83
"17",5,19.15,3,15.24,3,15.24
"18",5,12.38,3,12.72,5,12.38
"19",1,3.51,3,3.12,1,3.51
"20",1,6.03,3,8.24,1,6.03
"21",1,6.03,3,12.59,1,6.03
"22",5,3.36,3,2.14,1,3.24
"23",5,18.93,3,30.92,1,31.2
"24",5,7.33,3,7.12,1,6.79
"25",1,18.82,3,20.07,1,18.82
"26",1,1.79,3,1.51,1,1.79
"27",5,21.01,3,12.97,5,21.01
"28",5,33.06,3,67.39,5,33.06
"29",5,20.3,3,15.98,1,23.22
"30",5,4.41,3,5.33,5,4.41
"31",1,0.36,3,1.01,1,0.36
"32",1,10.65,3,8.68,1,10.65
"33",5,9.69,3,7.61,5,9.69
"34",5,9.07,3,21.84,1,3.43
"35",5,28.59,3,16.78,3,16.78
"36",5,38.68,3,27.53,5,38.68
"37",1,25.82,3,27.72,3,27.72
"38",1,1.99,3,2.76,1,1.99
"39",5,14.12,3,6.06,5,14.12
"40",5,4.48,3,3.33,1,3.54
"41",5,8.85,3,8.14,3,8.14
"42",5,12.6,3,12.19,5,12.6
"43",1,4.15,3,4.86,1,4.15
"44",1,4.34,3,22.94,1,4.34
"45",1,60.67,3,51.93,1,60.67
"46",5,62.47,3,106.41,1,44.2
"47",5,46.83,3,169.55,3,169.55
"48",5,28.8,3,28.72,1,25.32
"49",1,39.37,3,49.97,1,39.37
"50",1,9.64,3,9.73,1,9.64
"51",1,9.16,3,9.57,1,9.16
"52",5,11.41,3,5.12,1,6.7
"53",5,3,3,6.23,5,3
"54",5,11.88,3,17.46,5,11.88
"55",1,14.13,3,11.87,1,14.13
"56",1,48.26,3,50.13,3,50.13
"57",5,68.05,3,70.74,1,70.62
"58",5,70.03,3,68.83,1,62.04
"59",5,65.32,3,69.12,3,69.12
"60",5,58.79,3,60.78,5,58.79
"61",1,55.89,3,56.32,1,55.89
"62",1,58.2,3,57.16,3,57.16
"63",5,61.99,3,67.97,1,65.4
"64",5,63.95,3,63.62,1,63.21
"65",5,58.67,3,58.83,3,58.83
"66",5,60.34,3,60.93,5,60.34
"67",3.48,23.36,3,25.61,2.27,23.91
