"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE"
"1",1,27.69,4,12.3,1,27.69
"2",1,12.36,4,4.79,1,12.36
"3",5,23.47,4,12.16,5,23.47
"4",5,9.49,4,4.54,1,8.28
"5",5,11.18,4,4.25,3,6.1
"6",5,24.63,4,10.37,3,13.67
"7",1,22.97,4,15.54,1,22.97
"8",1,14.72,4,11.24,1,14.72
"9",5,2.22,4,2.54,3,5.83
"10",5,3.4,4,0.96,1,1.37
"11",5,4.36,4,7.19,4,7.19
"12",5,21.48,4,6.02,4,6.02
"13",1,2.64,4,4.94,1,2.64
"14",1,5.38,4,8.73,1,5.38
"15",5,12.45,4,11.16,1,8.83
"16",5,26.99,4,12.1,1,13.83
"17",5,19.15,4,6.69,3,15.24
"18",5,12.38,4,18.37,3,12.72
"19",1,3.51,4,3.54,1,3.51
"20",1,6.03,4,6.4,1,6.03
"21",1,6.03,4,2.34,1,6.03
"22",5,3.36,4,3.56,4,3.56
"23",5,18.93,4,75.22,1,31.2
"24",5,7.33,4,6.96,4,6.96
"25",1,18.82,4,23.66,1,18.82
"26",1,1.79,4,4.17,1,1.79
"27",5,21.01,4,31.4,3,12.97
"28",5,33.06,4,67.85,3,67.39
"29",5,20.3,4,30.21,3,15.98
"30",5,4.41,4,4.73,3,5.33
"31",1,0.36,4,0.7,1,0.36
"32",1,10.65,4,11.5,1,10.65
"33",5,9.69,4,8.1,5,9.69
"34",5,9.07,4,21.9,1,3.43
"35",5,28.59,4,20.2,3,16.78
"36",5,38.68,4,29.68,3,27.53
"37",1,25.82,4,24.73,1,25.82
"38",1,1.99,4,4.96,1,1.99
"39",5,14.12,4,10.52,5,14.12
"40",5,4.48,4,3.79,1,3.54
"41",5,8.85,4,5.1,3,8.14
"42",5,12.6,4,9.33,3,12.19
"43",1,4.15,4,4.28,1,4.15
"44",1,4.34,4,21.08,1,4.34
"45",1,60.67,4,59.31,5,43.53
"46",5,62.47,4,52.11,1,44.2
"47",5,46.83,4,70.73,3,169.55
"48",5,28.8,4,27.12,1,25.32
"49",1,39.37,4,50.21,1,39.37
"50",1,9.64,4,12.83,1,9.64
"51",1,9.16,4,13,1,9.16
"52",5,11.41,4,7.08,1,6.7
"53",5,3,4,6.84,3,6.23
"54",5,11.88,4,20.73,3,17.46
"55",1,14.13,4,13.91,1,14.13
"56",4,95.3,4,95.3,3,50.13
"57",5,68.05,4,121.63,5,68.05
"58",5,70.03,4,85.36,1,62.04
"59",5,65.32,4,70.78,3,69.12
"60",5,58.79,4,73.08,3,60.78
"61",1,55.89,4,80.33,1,55.89
"62",1,58.2,4,86.57,3,57.16
"63",5,61.99,4,86.55,5,61.99
"64",5,63.95,4,94.4,1,63.21
"65",5,58.67,4,65.4,4,65.4
"66",5,60.34,4,67.31,3,60.93
"67",3.53,24.07,4,28.04,2.23,24.1
