"","NNGC-A SMAPE","NNGC-A SD","NNGC-B SMAPE","NNGC-B SD","NNGC-C SMAPE","NNGC-C SD","NNGC-D SMAPE","NNGC-D SD","NNGC-E SMAPE","NNGC-E SD","NNGC-F SMAPE","NNGC-F SD","Average"
"MA",13.36,9.71,7.22,3.61,14.62,11.86,9.54,9.08,26.92,20.82,60.08,5.79,16.05
"SES",24.28,17.89,13.18,8.14,16.22,13.36,13.49,8.89,39.83,37.27,66.47,5.89,22.08
"Arima",10.12,6.91,8.63,4.72,16.24,19.08,14.01,9.72,42.41,51.96,62.22,6.49,21.04
"Structural",7.81,4.74,7.62,4.72,24.05,25.78,14.14,9.51,30.35,23.27,84.25,16.12,21.03
"NN",14,9.05,10.76,7.22,14.92,8.92,15.83,12.04,23.18,20.4,61.59,5.25,16.93
"Base Learning (Best Possible)",6.2,3.53,5.98,3.59,11.85,9.93,9.42,8.9,21.11,17.08,59.47,5.27,13.53
"MLL (NN3) -> GC",22.86,18.23,7.88,4.44,15.63,13.31,11.07,9.15,39.58,37.5,62.65,9.22,20.96
"MLL (NN5) -> GC",12.14,8.9,8.54,4.68,14.47,11.27,14.89,9.44,36.47,48.02,62.01,6.29,19.76
"MLL (NN3+NN5) -> GC",14.44,10.22,8.77,5.34,13.44,10.07,13.55,9.76,25.69,19.66,61.97,6.07,16.58
"MLL (NNGC)",7.36,4.63,8.25,4.23,13.26,10.43,9.54,9.08,23.47,20.14,60.59,4.88,14.66
"MLL (NN3+NN5+NNGC) -> GC",10.12,6.91,8.63,4.72,16.24,19.08,14.01,9.72,42.41,51.96,62.22,6.49,21.04
