"","NNGC-A SMAPE","NNGC-A SD","NNGC-B SMAPE","NNGC-B SD","NNGC-C SMAPE","NNGC-C SD","NNGC-D SMAPE","NNGC-D SD","NNGC-E SMAPE","NNGC-E SD","NNGC-F SMAPE","NNGC-F SD","Average"
"MA",13.36,9.71,7.22,3.61,14.62,11.86,9.54,9.08,26.92,20.82,60.08,5.79,16.05
"SES",24.28,17.89,13.18,8.14,16.22,13.36,13.49,8.89,39.83,37.27,66.47,5.89,22.08
"Arima",10.12,6.91,8.63,4.72,16.24,19.08,14.01,9.72,42.41,51.96,62.22,6.49,21.04
"Structural",7.81,4.74,7.62,4.72,24.05,25.78,14.14,9.51,30.35,23.27,84.25,16.12,21.03
"NN",14,9.05,10.76,7.22,14.92,8.92,15.83,12.04,23.18,20.4,61.59,5.25,16.93
"Base Learning (Best Possible)",6.2,3.53,5.98,3.59,11.85,9.93,9.42,8.9,21.11,17.08,59.47,5.27,13.53
"MLL (NN3) -> GC",12.43,9.6,7.22,3.61,14.42,11.97,9.54,9.08,27.27,21.55,60.08,5.79,16.05
"MLL (NN5) -> GC",12.49,9.18,10.76,7.22,14.72,9.07,16.88,12.07,23.31,20.24,61.59,5.25,16.9
"MLL (NN3+NN5) -> GC",13.01,9.98,7.19,3.6,14.7,11.83,9.54,9.08,37.19,47.36,60.08,5.79,19.11
"MLL (NNGC)",7.57,4.77,8.29,4.18,13.23,10.36,9.54,9.08,21.68,17.25,60.56,4.85,14.28
"MLL (NN3+NN5+NNGC) -> GC",10.12,6.91,8.63,4.72,16.24,19.08,14.01,9.72,42.41,51.96,62.22,6.49,21.04
