trend,length,std,skew,kurt,turn,step,nonlin,maxSpec,ff,acf1,acf2,pacf1,pacf2,season
0.991515948,23,0.078302251,0.227488843,2.199803552,0.434782609,0.086956522,0,420.3441017,1,0.670778144,0.492281057,0.836080491,0.051578742,0
0.836006619,23,0.871324481,1.188541921,4.35593739,0.391304348,0.217391304,0,3538941.039,1,0.754629019,0.536050025,0.850069465,-0.248720793,0
0.991741631,23,0.079877784,0.117024273,2.216345091,0.434782609,0.086956522,0,425.1616858,1,0.672738673,0.495415545,0.837327787,0.052530645,0
0.983848831,37,0.492391639,-0.155009026,3.949267092,0.432432432,0.135135135,0.769284635,6533578.115,2,0.818626379,0.666895879,0.914714829,-0.070398432,0
0.983155629,37,0.524926524,-0.148086014,4.014189294,0.432432432,0.162162162,0.77641189,6652891.954,2,0.818590332,0.665898988,0.914555197,-0.074234673,0
0.995100262,37,0.641747447,0.508368851,3.512286483,0.513513514,0.162162162,0.607951436,2183877.403,2,0.799213481,0.625039104,0.902490852,-0.076998659,0
0.802239383,37,2.949735705,0.415266085,5.264952617,0.513513514,0,0.47911966,116.9970755,1,0.773006552,0.494396846,0.843984322,-0.391004019,0
0.996436764,37,0.479373744,0.570701642,3.609093155,0.486486486,0.162162162,0.687810974,260786.9792,3,0.799402145,0.640601915,0.904898463,-0.028061175,0
0.782902226,23,0.079149961,0.128635392,1.843820792,0.47826087,0.043478261,0,236407.2935,1,0.460148731,0.074646819,0.551070358,-0.211507099,0
0.714014427,23,0.251133413,-0.151803615,1.99182481,0.434782609,0.173913043,0,1924.224203,1,0.781110536,0.568378926,0.818190935,-0.216210551,0
0.905604964,22,0.171465708,-0.596559908,2.773358392,0.5,0.227272727,0,3258602.897,3,0.543024939,0.298073351,0.700608861,-0.020561734,0
0.958882325,40,0.724932658,-0.373052541,4.500496287,0.5,0.275,0.569388028,2883432.444,1,0.871127338,0.758393191,0.926625435,-0.084443772,0.369109887
0.985745517,31,0.098821106,0.001639406,2.534152437,0.64516129,0,0,1.942989572,4,0.884857868,0.804547169,0.925379308,0.109493851,0.287549461
0.959562114,148,0.104850196,-0.357721795,2.700025474,0.547297297,0.087837838,0.030472349,1298.122195,2,0.961631378,0.933076354,0.976328458,0.08730493,0.118526152
0.981054918,148,0.515973969,-0.19007838,3.30325399,0.432432432,0.263513514,0.004730939,1921.069327,2,0.949261106,0.90557384,0.972532135,-0.011103435,0.069365652
0.990210529,148,0.407311659,0.30638927,5.437635224,0.466216216,0.222972973,0.001343367,255.7372236,2,0.936731243,0.878073739,0.961415268,-0.033031978,0.179636952
0.943716437,108,0.109084796,-0.008588474,2.31758154,0.555555556,0.083333333,0.041582985,13.57222412,1,0.91231594,0.860328774,0.946091397,0.195861799,0.157826482
0.950481523,108,0.570741186,-0.049514725,3.610609041,0.546296296,0.222222222,0.012606949,23.00890395,1,0.925767784,0.876571916,0.957136204,0.137770359,0.137556283
0.981037783,148,0.400592761,0.148829837,2.862007805,0.547297297,0.209459459,0.005400842,11189.33912,1,0.955327846,0.918223339,0.977889171,0.0218012,0.076008338
0.940607937,148,0.019190433,-0.384287173,3.071425836,0.554054054,0.087837838,0.037989204,1027.42418,2,0.957609945,0.927896522,0.970718215,0.096887779,0.118108889
0.885902634,148,0.096680437,-0.048839901,2.233202655,0.445945946,0.121621622,0.041669616,1179338347,2,0.958067795,0.921755027,0.975136717,-0.016896783,0.050248735
0.948999063,148,0.465659374,0.639553209,2.836713294,0.439189189,0.168918919,0.021127804,865768964.9,2,0.940217831,0.893245898,0.969773196,0.041193759,0.044941961
0.1559468,48,0.053827304,-0.093647008,2.68954374,0.604166667,0.020833333,0.685638228,592419.8271,2,0.689747371,0.415429819,0.650975434,-0.163214958,0.876489156
0.545996529,48,0.068530143,-0.014281634,5.432836203,0.479166667,0.0625,0.834319611,3440830321,2,0.206129943,-0.031775195,0.209968665,-0.09290927,0.877628256
0.342439187,198,0.23437976,0.383666939,3.118465939,0.575757576,0.080808081,0.564505112,100.8858907,2,0.557996611,0.265592338,0.560415062,-0.069974701,0.594407193
0.970374914,172,0.514745415,0.672865837,5.130551783,0.529069767,0.093023256,0.012134516,135.9610263,1,0.952703688,0.917384198,0.975285101,0.089974891,0.118417739
0.210746004,118,0.030326816,-0.381326712,4.021194082,0.610169492,0.050847458,0.094122643,12773958611,2,0.710389972,0.325245057,0.713984312,-0.366389967,0.953727002
0.821681116,118,0.284792383,0.419213868,2.874887782,0.627118644,0.033898305,0.131539471,194025.8632,4,0.680409862,0.340394117,0.684233443,-0.231590793,0.947376594
0.584969688,118,0.06879972,0.410125326,3.324788487,0.584745763,0.050847458,0.22312718,18986.49284,2,0.724530574,0.404011119,0.717711882,-0.26874258,0.918145525
0.624479167,57,0.075953983,-0.144051766,3.490102355,0.49122807,0.070175439,0.810753997,23764486.03,1,0.50050584,0.402424322,0.517417196,0.206599354,0.721122984
0.988434762,227,0.170123307,0.083387499,2.46575204,0.484581498,0.0969163,0.002998605,65071016.95,1,0.968211574,0.940018354,0.985478583,-0.022498515,0.038167283
0.830083345,132,0.136029302,-0.267768412,2.632703455,0.613636364,0.037878788,0.37134965,1718637.455,2,0.674995402,0.522662286,0.719832896,0.146231993,0.656842125
0.794455356,228,0.084246408,-0.201025841,3.304214227,0.592105263,0.061403509,0.320441398,199408.9517,3,0.598055634,0.447306514,0.610329364,0.166022837,0.693550473
0.698566461,527,0.378272876,0.393554532,2.563851317,0.246679317,0.216318786,0.002977198,19128.68984,2,0.982702481,0.964556337,0.989125651,-0.141291362,0.051371731
0.7718956,1181,0.010283818,0.296659562,3.148725908,0.66469094,0.071126164,0.204327579,340769.4453,3,0.708079897,0.709265653,0.71015936,0.419254655,0.485620917
0.535657511,437,0.083339014,0.265358301,2.987632981,0.66819222,0.073226545,0.193479944,73776.72063,1,0.479949879,0.446509436,0.480982905,0.281809476,0.536188988
0.37573751,549,0.012806115,0.359415354,3.503537989,0.68852459,0.0856102,0.680991817,22937.12702,3,0.136230298,0.214267128,0.134411669,0.198532787,0.553785863
0.255411541,437,0.027751369,0.042579949,2.319137905,0.386727689,0.057208238,0.064975853,2517016973,2,0.955924476,0.893616463,0.960097593,-0.292346876,0.457453843
0.802888954,618,0.075049263,-0.221456132,2.855878569,0.605177994,0.067961165,0.145525385,113715.7031,4,0.855171368,0.834374469,0.861916246,0.398688874,0.326751609
0.447660606,618,0.061713021,0.081687565,2.829765336,0.6197411,0.058252427,0.417752857,72993.80164,6,0.721593511,0.627440297,0.722652701,0.224773635,0.531193499
0.89326939,548,0.102384805,0.011693875,3.473066067,0.591240876,0.031021898,0.12683887,230998.4872,2,0.876819469,0.838862143,0.889665348,0.306834376,0.485312286
0.4820419,548,0.090038272,0.232612292,3.353196515,0.613138686,0.045620438,0.345449348,78750.56283,2,0.639950702,0.56606759,0.64478353,0.264417993,0.363834905
0.282686057,593,0.039777499,0.184501813,3.106808875,0.603709949,0.072512648,0.339539491,116963.1344,2,0.710369094,0.611573038,0.71190568,0.213720334,0.495276217
0.793997239,594,0.364352992,0.301403013,2.810279658,0.250841751,0.203703704,0.003367954,18653.72673,1,0.981717483,0.959957879,0.988709378,-0.228200866,0.146493169
0.192015604,377,0.09764427,-1.426769357,7.537902318,0.554376658,0.087533156,0.122600342,1313.556931,2,0.472435104,-0.168748623,0.473933356,-0.505890005,0.845480669
0.541565833,377,1.778845633,3.94952064,32.01892672,0.514588859,0.116710875,0.00270033,26719.64366,3,0.823434961,0.629768241,0.824182209,-0.158059337,0.338225412
0.467188272,374,0.198329267,1.234141645,11.66212473,0.57486631,0.104278075,0.085519536,14198.11945,2,0.552967542,0.104731687,0.553918725,-0.291765307,0.742593955
0.759098203,466,0.323948821,0.457353892,4.121028646,0.497854077,0.030042918,0.018192116,112616125.5,1,0.81348546,0.596344484,0.814036633,-0.196802769,0.597675511
0.154424346,716,0.162437389,1.19058884,3.78650901,0.463687151,0.069832402,0.013037113,151199392.8,1,0.816048045,0.532788065,0.816547853,-0.402649601,0.360690823
0.430537133,502,1.313958215,2.330640223,12.88150578,0.59561753,0.067729084,0.100902815,714322.9102,5,0.692912361,0.422278631,0.691722803,-0.101153928,0.48873763
0.534222599,502,1.177353401,1.909916271,11.5659742,0.603585657,0.059760956,0.130018937,1391066.709,3,0.688771017,0.406904474,0.686004959,-0.112490881,0.549960402
0.410743753,747,0.02660163,-1.727967851,8.398165681,0.547523427,0.054886212,0.073081706,618598336.7,2,0.540808804,0.194204137,0.541856744,-0.138406479,0.667147838
0.360386953,747,0.006269422,-1.737109844,8.225876126,0.52476573,0.049531459,0.053156334,2309391893,2,0.531736088,0.184810381,0.532661611,-0.136050632,0.651244975
0.329284541,654,0.146491437,0.615099146,5.199227308,0.54587156,0.099388379,0.030520403,314837167.9,1,0.50212767,0.063181647,0.502919551,-0.253471265,0.715405922
0.504563642,654,0.182113104,0.757348404,4.935621745,0.56116208,0.100917431,0.026005336,443340209.8,2,0.727347558,0.510587459,0.72846344,-0.041128204,0.471625048
0.060429168,969,0.119485292,2.599478334,13.28936805,0.567595459,0.073271414,0.052070222,7017.54816,3,0.839286204,0.71158774,0.839720296,0.021478585,0.16906061
0.026750126,1026,0.2124967,2.987803167,17.74485531,0.631578947,0.070175439,0.143570583,3419.599449,6,0.678153291,0.613056538,0.678726147,0.282806088,0.202462437
0.005442166,1742,0.046548003,0.56789519,2.551959204,0.291618829,0.053960964,0.003407719,19036864694,2,0.790320752,0.41869044,0.790146626,-0.550612792,0.187299565
0.005922422,1742,0.020653506,0.786395685,3.652306565,0.354764638,0.038461538,0.016310387,10116910.65,2,0.741556405,0.357023573,0.741667834,-0.430733426,0.219732235
0.003019794,1742,0.029787182,0.314628379,2.259161002,0.253731343,0.03272101,0.002168608,32755652019,2,0.795791571,0.427277311,0.795642527,-0.564260034,0.186105432
0.004739516,1742,0.045768392,0.123968877,2.177650216,0.230769231,0.029276693,0.002407955,4300375533,2,0.786518836,0.41530352,0.78611407,-0.535118312,0.199368289
0.003434272,902,0.071283226,0.17719556,2.210762838,0.223946785,0.034368071,0.011549733,25530626512,2,0.787079962,0.412457549,0.786360745,-0.547309062,0.206234676
0.002738234,902,0.064727441,0.470626608,2.753110924,0.33037694,0.053215078,0.010043118,23144671.62,2,0.719110545,0.338945203,0.719011159,-0.371703713,0.241305927
0.006016514,902,0.085955325,0.370794134,2.414887203,0.277161863,0.05654102,0.000959355,7273381998,2,0.767204679,0.387903653,0.766635981,-0.490850861,0.212989517
0.003412128,902,0.061004227,0.508067212,2.652221437,0.283813747,0.05654102,0.007829024,13571239022,2,0.749227806,0.32041131,0.749424248,-0.553339763,0.221903548
0.008286685,902,0.096266853,0.783658699,3.159443771,0.283813747,0.063192905,0.018262198,7024699589,1,0.697186741,0.205142562,0.697362937,-0.550056561,0.25306025
